나파, 77, 187
파파, 70, 187
가타, 71, 172
가나, 70, 186
차마, 68, 181
나타, 55, 165
자차, 73, 183
사나, 63, 195
나다, 54, 194
나마, 66, 152
라사, 89, 170
마자, 56, 141
다사, 90, 146
파라, 72, 171
라자, 73, 194
타바, 93, 193
자하, 40, 194
파마, 40, 154
가마, 98, 197
마다, 81, 176
나마, 69, 194
가사, 97, 156
카타, 99, 155
카파, 99, 148
다라, 51, 142
자라, 79, 190
파나, 58, 175
라다, 82, 172
가라, 48, 168
가카, 84, 177
사타, 95, 184
다바, 51, 195
라파, 90, 189
나파, 75, 146
라파, 98, 148
나라, 66, 149
자차, 87, 175
마타, 92, 160
카바, 86, 146
타마, 87, 174
마사, 94, 143
바카, 88, 172
바나, 60, 183
파차, 64, 159
하다, 87, 197
나차, 80, 142
마파, 41, 151
아자, 89, 144
나가, 99, 144
타파, 53, 161
자하, 63, 198
다아, 92, 140
마하, 54, 143
파라, 87, 175
나자, 60, 146
아바, 85, 165
나가, 47, 156
나아, 70, 184
타자, 90, 149
사차, 95, 184
카차, 95, 199
차아, 94, 195
카나, 47, 143
나차, 83, 158
라가, 96, 164
하다, 67, 154
타다, 84, 189
차바, 92, 197
하타, 91, 170
파차, 40, 147
타가, 74, 177
다다, 68, 148
하하, 75, 195
나마, 51, 173
다마, 56, 167
자하, 50, 184
다사, 45, 163
자사, 43, 171
사하, 59, 194
사차, 58, 189
파바, 77, 163
아타, 55, 157
차파, 62, 190
타가, 83, 147
마사, 74, 193
타사, 54, 183
바다, 44, 199
카파, 92, 182
카다, 83, 197
나자, 56, 172
차카, 98, 173
자차, 51, 190
아가, 60, 176
자차, 72, 157
사아, 88, 175
나아, 73, 164
라가, 96, 157
파타, 65, 173
타라, 96, 148
가아, 79, 154
차차, 53, 173
하카, 95, 169
가아, 93, 161
아가, 91, 162
마타, 40, 181
아파, 59, 166
아하, 98, 195
아바, 42, 155
가다, 54, 189
라가, 56, 174
차차, 72, 156
마가, 78, 178
카나, 93, 186
사마, 50, 161
파나, 81, 159
라다, 43, 165
다마, 43, 158
바바, 79, 178
카가, 76, 198
다나, 73, 165
사카, 73, 172
카사, 56, 192
하바, 74, 142
타나, 77, 163
바바, 56, 162
파라, 56, 150
가다, 86, 168
차다, 65, 157
하마, 46, 176
차자, 73, 157
타파, 72, 182
자파, 62, 173
바아, 86, 195
파하, 76, 147
마다, 55, 155
사타, 76, 173
카타, 96, 181
파아, 80, 172
자하, 96, 171
다사, 48, 168
파가, 51, 186
카마, 74, 192
자차, 88, 170
하하, 54, 190
카아, 76, 146
다가, 91, 159
아카, 65, 166
마다, 83, 147
라차, 74, 168
자라, 46, 186
자마, 42, 162
나파, 52, 143
파마, 63, 140
하마, 71, 166
바자, 89, 161
하카, 58, 184
아카, 49, 171
사타, 89, 161
카사, 44, 172
가하, 54, 145
라하, 92, 161
타타, 76, 153
다카, 60, 153
나하, 68, 192
사바, 61, 145
파차, 99, 174
차다, 93, 140
아다, 56, 152
파마, 65, 183
사타, 58, 195
나아, 81, 181
차차, 57, 140
라아, 98, 193
나파, 83, 140
하마, 53, 147
차자, 65, 182
카다, 65, 198
사가, 78, 178
다차, 63, 148
마파, 94, 166
다가, 99, 195
마타, 50, 163
사자, 90, 166
나사, 41, 184
사자, 83, 159
타하, 58, 196
차차, 55, 179
아파, 91, 172
다사, 99, 140
하아, 72, 174
아바, 52, 160
파차, 75, 194
사자, 42, 184
마다, 78, 172
아나, 58, 142
나자, 81, 174
나나, 89, 149
마차, 64, 169
차차, 72, 144
마바, 61, 152
타다, 67, 159
바사, 87, 198
다가, 42, 167
다나, 55, 151
사아, 53, 140
하나, 96, 145
다타, 95, 176
카마, 98, 195
가라, 58, 184
자라, 44, 147
사가, 45, 156
사라, 73, 151
파라, 68, 193
나라, 92, 145
바카, 40, 166
바라, 91, 191
다라, 67, 148
가타, 64, 142
사바, 53, 187
카파, 51, 188
라라, 52, 182
나자, 47, 153
차라, 69, 182
사파, 67, 151
하파, 83, 194
자다, 44, 193
사파, 77, 169
바마, 62, 187
나사, 94, 150
타라, 61, 155
사가, 53, 152
하자, 78, 153
자파, 99, 174
바자, 53, 192
